Date,Price,Open,High,Low,Vol.,Change %
2018-08-06,0.01342,0.01401,0.01436,0.01288,506.77M,-4.28%
2018-08-07,0.01294,0.01341,0.0141,0.01257,562.88M,-3.58%
2018-08-08,0.01087,0.01294,0.01294,0.01024,763.95M,-16.00%
2018-08-09,0.01155,0.01083,0.01175,0.01054,552.56M,6.26%
2018-08-10,0.00958,0.01156,0.01167,0.00936,693.22M,-17.06%
2018-08-11,0.00909,0.00958,0.00977,0.00868,611.43M,-5.11%
2018-08-12,0.00906,0.00906,0.0098,0.00894,424.34M,-0.33%
2018-08-13,0.00716,0.00906,0.00918,0.00691,756.53M,-20.97%
2018-08-14,0.00774,0.00716,0.00774,0.00603,1.13B,8.10%
2018-08-15,0.0079,0.00775,0.00878,0.00759,1.34B,2.07%
2018-08-16,0.0113,0.0079,0.01163,0.00772,1.93B,43.04%
2018-08-17,0.0149,0.01125,0.01643,0.01082,2.86B,31.86%
2018-08-18,0.01277,0.01488,0.01494,0.01107,1.88B,-14.30%
2018-08-19,0.01431,0.01277,0.01447,0.01212,1.33B,12.06%
2018-08-20,0.01293,0.01432,0.01487,0.01287,1.29B,-9.64%
2018-08-21,0.01546,0.01292,0.01587,0.01284,1.47B,19.57%
2018-08-22,0.01376,0.01548,0.0164,0.01242,2.31B,-11.00%
2018-08-23,0.0147,0.0137,0.01487,0.01355,1.23B,6.83%
2018-08-24,0.01453,0.01474,0.01476,0.0138,652.62M,-1.16%
2018-08-25,0.0154,0.01453,0.01577,0.01417,711.76M,5.99%
2018-08-26,0.01528,0.01538,0.01546,0.01436,636.72M,-0.78%
2018-08-27,0.01797,0.0153,0.01809,0.01507,1.31B,17.60%
2018-08-28,0.0179,0.018,0.01882,0.01749,1.07B,-0.39%
2018-08-29,0.0169,0.01788,0.01814,0.0164,884.97M,-5.59%
2018-08-30,0.01731,0.01692,0.01738,0.01557,698.14M,2.43%
2018-08-31,0.01704,0.01731,0.01763,0.01637,659.00M,-1.56%
2018-09-01,0.0182,0.01702,0.01867,0.01693,630.36M,6.81%
2018-09-02,0.01786,0.01822,0.01848,0.0173,573.96M,-1.87%
2018-09-03,0.01879,0.01787,0.01923,0.0174,826.32M,5.21%
2018-09-04,0.01945,0.01877,0.0199,0.01853,975.34M,3.51%
2018-09-05,0.01605,0.01945,0.01978,0.01592,1.52B,-17.48%
2018-09-06,0.01612,0.0161,0.01637,0.0148,1.37B,0.44%
2018-09-07,0.01547,0.01615,0.01679,0.01501,898.29M,-4.03%
2018-09-08,0.01452,0.01546,0.01613,0.01419,702.27M,-6.14%
2018-09-09,0.01443,0.0145,0.01537,0.01408,679.42M,-0.62%
2018-09-10,0.01414,0.01447,0.01535,0.01373,800.01M,-2.01%
2018-09-11,0.01315,0.01418,0.01439,0.0127,753.62M,-7.00%
2018-09-12,0.01382,0.01312,0.01415,0.01164,1.04B,5.10%
2018-09-13,0.01399,0.01381,0.01443,0.01324,1.11B,1.23%
2018-09-14,0.01392,0.01403,0.01436,0.01344,708.43M,-0.50%
2018-09-15,0.01427,0.0139,0.01465,0.01373,574.32M,2.51%
2018-09-16,0.01412,0.01425,0.01433,0.01373,426.80M,-1.05%
2018-09-17,0.01266,0.01413,0.01431,0.01235,832.69M,-10.34%
2018-09-18,0.01294,0.01267,0.01332,0.01236,675.92M,2.21%
2018-09-19,0.013,0.01292,0.0133,0.0122,680.88M,0.46%
2018-09-20,0.01358,0.013,0.01386,0.01286,695.24M,4.46%
2018-09-21,0.01444,0.01359,0.01467,0.01344,1.27B,6.33%
2018-09-22,0.01373,0.01445,0.01466,0.01338,512.59M,-4.92%
2018-09-23,0.01396,0.01374,0.01416,0.0136,401.89M,1.68%
2018-09-24,0.01311,0.01397,0.014,0.0129,821.13M,-6.09%
2018-09-25,0.01283,0.01311,0.01311,0.0121,918.33M,-2.14%
2018-09-26,0.01247,0.01283,0.01292,0.01236,803.47M,-2.81%
2018-09-27,0.01311,0.01249,0.0133,0.01238,837.29M,5.13%
2018-09-28,0.01308,0.01311,0.01367,0.01292,640.90M,-0.23%
2018-09-29,0.01293,0.01308,0.01308,0.01264,639.79M,-1.15%
2018-09-30,0.0129,0.01293,0.01304,0.01266,724.18M,-0.23%
2018-10-01,0.01282,0.01292,0.01299,0.01264,569.68M,-0.62%
2018-10-02,0.01296,0.01283,0.0134,0.0128,730.80M,1.09%
2018-10-03,0.01279,0.01292,0.01296,0.01259,623.28M,-1.31%
2018-10-04,0.01285,0.01279,0.01302,0.01273,502.32M,0.47%
2018-10-05,0.01316,0.01289,0.0133,0.0128,148.88M,2.41%
2018-10-06,0.01307,0.01314,0.01327,0.01294,93.94M,-0.68%
2018-10-07,0.01313,0.01307,0.01321,0.01289,77.36M,0.46%
2018-10-08,0.01375,0.0131,0.0139,0.01303,215.69M,4.72%
2018-10-09,0.01366,0.01375,0.01382,0.01341,139.42M,-0.65%
2018-10-10,0.01335,0.01364,0.01368,0.0131,115.70M,-2.27%
2018-10-11,0.01127,0.01335,0.01336,0.01118,397.17M,-15.58%
2018-10-12,0.01163,0.01127,0.01189,0.01105,172.47M,3.19%
2018-10-13,0.01161,0.01163,0.01178,0.01152,59.15M,-0.17%
2018-10-14,0.01144,0.01161,0.01187,0.01137,86.00M,-1.46%
2018-10-15,0.01205,0.01144,0.013,0.01129,468.59M,5.33%
2018-10-16,0.01219,0.01204,0.01232,0.01186,109.66M,1.16%
2018-10-17,0.01209,0.01219,0.01219,0.012,379.70M,-0.82%
2018-10-18,0.01158,0.01208,0.01222,0.01145,134.40M,-4.22%
2018-10-19,0.01161,0.01158,0.01173,0.0114,408.15M,0.26%
2018-10-20,0.01169,0.01161,0.01191,0.01154,544.10M,0.69%
2018-10-21,0.0115,0.01169,0.01185,0.01144,395.38M,-1.63%
2018-10-22,0.01124,0.0115,0.01159,0.01115,375.43M,-2.26%
2018-10-23,0.01187,0.01124,0.01218,0.01087,368.88M,5.60%
2018-10-24,0.01155,0.01191,0.0121,0.0115,257.08M,-2.70%
2018-10-25,0.01143,0.01155,0.01161,0.01121,152.00M,-1.04%
2018-10-26,0.01121,0.01144,0.01144,0.01106,137.32M,-1.92%
2018-10-27,0.01094,0.0112,0.01122,0.01088,140.57M,-2.41%
2018-10-28,0.011,0.01094,0.01133,0.01093,135.20M,0.55%
2018-10-29,0.01053,0.011,0.01133,0.0104,302.93M,-4.27%
2018-10-30,0.01021,0.01054,0.01071,0.0101,145.38M,-3.04%
2018-10-31,0.01048,0.01021,0.01063,0.00997,173.46M,2.64%
2018-11-01,0.01049,0.01048,0.01057,0.01017,159.84M,0.10%
2018-11-02,0.0105,0.01049,0.0106,0.01043,153.62M,0.10%
2018-11-03,0.01035,0.0105,0.01053,0.01026,109.00M,-1.43%
2018-11-04,0.01089,0.01036,0.01126,0.01026,202.51M,5.22%
2018-11-05,0.01076,0.01088,0.01096,0.01054,164.72M,-1.19%
2018-11-06,0.0113,0.01074,0.01137,0.01066,177.17M,5.02%
2018-11-07,0.01088,0.01129,0.0114,0.01058,173.38M,-3.72%
2018-11-08,0.01055,0.01088,0.01091,0.0105,95.39M,-3.03%
2018-11-09,0.01025,0.01055,0.01058,0.01014,112.70M,-2.84%
2018-11-10,0.01031,0.01026,0.01049,0.01019,52.54M,0.59%
2018-11-11,0.01023,0.01031,0.01034,0.01011,88.54M,-0.78%
2018-11-12,0.00999,0.01023,0.01029,0.00994,112.81M,-2.35%
2018-11-13,0.00928,0.01,0.01,0.00928,200.07M,-7.11%
2018-11-14,0.00868,0.00928,0.00947,0.00763,482.43M,-6.47%
2018-11-15,0.00812,0.00866,0.00893,0.00716,484.99M,-6.45%
2018-11-16,0.00778,0.00813,0.00821,0.00763,237.90M,-4.19%
2018-11-17,0.0078,0.0078,0.00783,0.00754,157.20M,0.26%
2018-11-18,0.00773,0.0078,0.00792,0.00765,151.81M,-0.90%
2018-11-19,0.00614,0.00773,0.00773,0.00592,745.18M,-20.57%
2018-11-20,0.00544,0.00612,0.00644,0.00504,935.41M,-11.40%
2018-11-21,0.00587,0.00543,0.00608,0.0053,562.26M,7.90%
2018-11-22,0.00524,0.00588,0.00599,0.00522,273.77M,-10.73%
2018-11-23,0.00524,0.00522,0.00537,0.00503,347.64M,0.00%
2018-11-24,0.0046,0.00525,0.00544,0.0045,352.43M,-12.21%
2018-11-25,0.00478,0.00458,0.00495,0.00409,623.88M,3.91%
2018-11-26,0.00443,0.00478,0.00491,0.00426,484.47M,-7.32%
2018-11-27,0.00447,0.00443,0.0046,0.00419,308.72M,0.90%
2018-11-28,0.00527,0.00447,0.0055,0.00447,958.62M,17.90%
2018-11-29,0.00534,0.00526,0.00573,0.00495,581.05M,1.33%
2018-11-30,0.00481,0.00535,0.00538,0.00456,608.55M,-9.93%
2018-12-01,0.00507,0.00479,0.00522,0.00466,349.91M,5.41%
2018-12-02,0.00494,0.00507,0.00518,0.0048,331.60M,-2.56%
2018-12-03,0.00453,0.00493,0.00498,0.00443,460.24M,-8.30%
2018-12-04,0.00462,0.00454,0.00492,0.00439,357.86M,1.99%
2018-12-05,0.00445,0.00462,0.00467,0.00439,331.31M,-3.68%
2018-12-06,0.00411,0.00446,0.00487,0.00411,611.01M,-7.64%
2018-12-07,0.00392,0.0041,0.00416,0.00364,596.95M,-4.62%
2018-12-08,0.00383,0.00391,0.00408,0.00366,389.97M,-2.30%
2018-12-09,0.004,0.00384,0.00416,0.00378,315.26M,4.44%
2018-12-10,0.00377,0.004,0.00407,0.00368,305.31M,-5.75%
2018-12-11,0.00367,0.00377,0.00381,0.00361,179.31M,-2.65%
2018-12-12,0.00369,0.00367,0.00378,0.00358,337.12M,0.54%
2018-12-13,0.00351,0.00368,0.00371,0.00345,207.23M,-4.88%
2018-12-14,0.00337,0.00352,0.00355,0.00329,221.05M,-3.99%
2018-12-15,0.00334,0.00337,0.00341,0.00325,177.80M,-0.89%
2018-12-16,0.00339,0.00334,0.00349,0.00333,187.92M,1.50%
2018-12-17,0.004,0.00339,0.00406,0.00339,767.59M,17.99%
2018-12-18,0.00409,0.004,0.00412,0.00372,492.77M,2.25%
2018-12-19,0.00411,0.00411,0.00449,0.00404,881.96M,0.49%
2018-12-20,0.004481,0.00411,0.00452,0.00404,820.78M,9.03%
2018-12-21,0.004396,0.004478,0.004878,0.004219,900.72M,-1.90%
2018-12-22,0.004569,0.00441,0.004646,0.004261,378.74M,3.94%
2018-12-23,0.004641,0.004569,0.004822,0.004544,403.54M,1.58%
2018-12-24,0.004718,0.004641,0.005247,0.004625,871.09M,1.66%
2018-12-25,0.004309,0.004719,0.004747,0.004101,552.92M,-8.67%
2018-12-26,0.00432,0.004306,0.004503,0.004157,288.04M,0.26%
2018-12-27,0.003837,0.00432,0.004356,0.003802,337.18M,-11.18%
2018-12-28,0.004297,0.003842,0.004395,0.003762,456.22M,11.99%
2018-12-29,0.00402,0.00427,0.004344,0.003985,385.49M,-6.45%
2018-12-30,0.00415,0.00402,0.004189,0.003977,300.24M,3.23%
2018-12-31,0.003927,0.00415,0.004163,0.003853,247.97M,-5.37%
2019-01-01,0.004082,0.003927,0.004093,0.00386,132.81M,3.95%
2019-01-02,0.004132,0.004064,0.004168,0.003978,228.90M,1.22%
2019-01-03,0.00397,0.00413,0.004162,0.003906,199.56M,-3.92%
2019-01-04,0.004023,0.00397,0.004059,0.003908,216.71M,1.34%
2019-01-05,0.003998,0.004023,0.00413,0.00398,219.76M,-0.62%
2019-01-06,0.004245,0.003998,0.004343,0.00397,335.45M,6.18%
2019-01-07,0.004122,0.004245,0.004282,0.004086,262.78M,-2.90%
2019-01-08,0.004295,0.004121,0.004449,0.004021,467.59M,4.20%
2019-01-09,0.004699,0.0043,0.004735,0.004294,733.39M,9.41%
2019-01-10,0.003968,0.004702,0.004834,0.003766,1.04B,-15.56%
2019-01-11,0.003912,0.003967,0.004039,0.003801,435.94M,-1.41%
2019-01-12,0.003938,0.003913,0.003993,0.003888,182.18M,0.66%
2019-01-13,0.00371,0.003936,0.003968,0.003622,433.09M,-5.79%
2019-01-14,0.003974,0.003708,0.004005,0.003703,312.23M,7.12%
2019-01-15,0.003854,0.003978,0.004,0.003793,256.39M,-3.02%
2019-01-16,0.003933,0.003852,0.003946,0.003807,217.21M,2.05%
2019-01-17,0.004187,0.003943,0.004291,0.00388,697.74M,6.46%
2019-01-18,0.004014,0.004185,0.004203,0.003934,390.41M,-4.13%
2019-01-19,0.004075,0.00403,0.004203,0.004008,254.44M,1.52%
2019-01-20,0.003947,0.004077,0.004185,0.003824,334.28M,-3.14%
