Date,Price
"Mar 30, 2021",1.226979
"Mar 29, 2021",1.202812
"Mar 28, 2021",1.189546
"Mar 27, 2021",1.176785
"Mar 26, 2021",1.214457
"Mar 25, 2021",1.096429
"Mar 24, 2021",1.070167
"Mar 23, 2021",1.116343
"Mar 22, 2021",1.103464
"Mar 21, 2021",1.186839
"Mar 20, 2021",1.200409
"Mar 19, 2021",1.295932
"Mar 18, 2021",1.23123
"Mar 17, 2021",1.377406
"Mar 16, 2021",1.249261
"Mar 15, 2021",1.030954
"Mar 14, 2021",1.055119
"Mar 13, 2021",1.101309
"Mar 12, 2021",1.03205
"Mar 11, 2021",1.124155
"Mar 10, 2021",1.133092
"Mar 09, 2021",1.1972
"Mar 08, 2021",1.118466
"Mar 07, 2021",1.131882
"Mar 06, 2021",1.129016
"Mar 05, 2021",1.158227
"Mar 04, 2021",1.11249
"Mar 03, 2021",1.214324
"Mar 02, 2021",1.224643
"Mar 01, 2021",1.2962
"Feb 28, 2021",1.307673
"Feb 27, 2021",1.316575
"Feb 26, 2021",1.241585
"Feb 25, 2021",1.07517
"Feb 24, 2021",1.048148
"Feb 23, 2021",0.963973
"Feb 22, 2021",1.096866
"Feb 21, 2021",1.099821
"Feb 20, 2021",1.116149
"Feb 19, 2021",0.925894
"Feb 18, 2021",0.913752
"Feb 17, 2021",0.891702
"Feb 16, 2021",0.870393
"Feb 15, 2021",0.8602
"Feb 14, 2021",0.844426
"Feb 13, 2021",0.911147
"Feb 12, 2021",0.924877
"Feb 11, 2021",0.929292
"Feb 10, 2021",0.940364
"Feb 09, 2021",0.705831
"Feb 08, 2021",0.677404
"Feb 07, 2021",0.662569
"Feb 06, 2021",0.633867
"Feb 05, 2021",0.53935
"Feb 04, 2021",0.439519
"Feb 03, 2021",0.441872
"Feb 02, 2021",0.425759
"Feb 01, 2021",0.408341
"Jan 31, 2021",0.345023
"Jan 30, 2021",0.363623
"Jan 29, 2021",0.347593
"Jan 28, 2021",0.34375
"Jan 27, 2021",0.311971
"Jan 26, 2021",0.343527
"Jan 25, 2021",0.343094
"Jan 24, 2021",0.353172
"Jan 23, 2021",0.345559
"Jan 22, 2021",0.349855
"Jan 21, 2021",0.307722
"Jan 20, 2021",0.37551
"Jan 19, 2021",0.36777
"Jan 18, 2021",0.371004
"Jan 17, 2021",0.381294
"Jan 16, 2021",0.351231
"Jan 15, 2021",0.302516
"Jan 14, 2021",0.311028
"Jan 13, 2021",0.312734
"Jan 12, 2021",0.287594
"Jan 11, 2021",0.275906
"Jan 10, 2021",0.302328
"Jan 09, 2021",0.330163
"Jan 08, 2021",0.303959
"Jan 07, 2021",0.29805
"Jan 06, 2021",0.332784
"Jan 05, 2021",0.258647
"Jan 04, 2021",0.225846
"Jan 03, 2021",0.20566
"Jan 02, 2021",0.177335
"Jan 01, 2021",0.175049
"Dec 31, 2020",0.181381
"Dec 30, 2020",0.184033
"Dec 29, 2020",0.190995
"Dec 28, 2020",0.176428
"Dec 27, 2020",0.154639
"Dec 26, 2020",0.158322
"Dec 25, 2020",0.157516
"Dec 24, 2020",0.152984
"Dec 23, 2020",0.13651
"Dec 22, 2020",0.156658
"Dec 21, 2020",0.152699
"Dec 20, 2020",0.161998
"Dec 19, 2020",0.164301
"Dec 18, 2020",0.16502
"Dec 17, 2020",0.163418
"Dec 16, 2020",0.168198
"Dec 15, 2020",0.153813
"Dec 14, 2020",0.158316
"Dec 13, 2020",0.154049
"Dec 12, 2020",0.144259
"Dec 11, 2020",0.139216
"Dec 10, 2020",0.141663
"Dec 09, 2020",0.14797
"Dec 08, 2020",0.141265
"Dec 07, 2020",0.154046
"Dec 06, 2020",0.158664
"Dec 05, 2020",0.15993
"Dec 04, 2020",0.147822
"Dec 03, 2020",0.164108
"Dec 02, 2020",0.158654
"Dec 01, 2020",0.155544
"Nov 30, 2020",0.172079
"Nov 29, 2020",0.166488
"Nov 28, 2020",0.164933
"Nov 27, 2020",0.141462
"Nov 26, 2020",0.138496
"Nov 25, 2020",0.155226
"Nov 24, 2020",0.166995
"Nov 23, 2020",0.15454
"Nov 22, 2020",0.145653
"Nov 21, 2020",0.13354
"Nov 20, 2020",0.118347
"Nov 19, 2020",0.105885
"Nov 18, 2020",0.10653
"Nov 17, 2020",0.109511
"Nov 16, 2020",0.10388
"Nov 15, 2020",0.100569
"Nov 14, 2020",0.104055
"Nov 13, 2020",0.106334
"Nov 12, 2020",0.10456
"Nov 11, 2020",0.105992
"Nov 10, 2020",0.105976
"Nov 09, 2020",0.105337
"Nov 08, 2020",0.106568
"Nov 07, 2020",0.101291
"Nov 06, 2020",0.109013
"Nov 05, 2020",0.097531
"Nov 04, 2020",0.095433
"Nov 03, 2020",0.093609
"Nov 02, 2020",0.092262
"Nov 01, 2020",0.098099
"Oct 31, 2020",0.092976
"Oct 30, 2020",0.093313
"Oct 29, 2020",0.095417
"Oct 28, 2020",0.098782
"Oct 27, 2020",0.102617
"Oct 26, 2020",0.103058
"Oct 25, 2020",0.106351
"Oct 24, 2020",0.107991
"Oct 23, 2020",0.10807
"Oct 22, 2020",0.110769
"Oct 21, 2020",0.106032
"Oct 20, 2020",0.102259
"Oct 19, 2020",0.1087
"Oct 18, 2020",0.107334
"Oct 17, 2020",0.105979
"Oct 16, 2020",0.104006
"Oct 15, 2020",0.106662
"Oct 14, 2020",0.107069
"Oct 13, 2020",0.109338
"Oct 12, 2020",0.109521
"Oct 11, 2020",0.106476
"Oct 10, 2020",0.104963
"Oct 09, 2020",0.101318
"Oct 08, 2020",0.096178
"Oct 07, 2020",0.093734
"Oct 06, 2020",0.092907
"Oct 05, 2020",0.097463
"Oct 04, 2020",0.096816
"Oct 03, 2020",0.093277
"Oct 02, 2020",0.092783
"Oct 01, 2020",0.098012
"Sep 30, 2020",0.101347
"Sep 29, 2020",0.101083
"Sep 28, 2020",0.100429
"Sep 27, 2020",0.101292
"Sep 26, 2020",0.095459
"Sep 25, 2020",0.096902
"Sep 24, 2020",0.082543
"Sep 23, 2020",0.076593
"Sep 22, 2020",0.081468
"Sep 21, 2020",0.079702
"Sep 20, 2020",0.08931
"Sep 19, 2020",0.09142
"Sep 18, 2020",0.091073
"Sep 17, 2020",0.094073
"Sep 16, 2020",0.091396
"Sep 15, 2020",0.093098
"Sep 14, 2020",0.096628
"Sep 13, 2020",0.095022
"Sep 12, 2020",0.097661
"Sep 11, 2020",0.096932
"Sep 10, 2020",0.097011
"Sep 09, 2020",0.093323
"Sep 08, 2020",0.091018
"Sep 07, 2020",0.093569
"Sep 06, 2020",0.092594
"Sep 05, 2020",0.089965
"Sep 04, 2020",0.101663
"Sep 03, 2020",0.09478
"Sep 02, 2020",0.114942
"Sep 01, 2020",0.124592
"Aug 31, 2020",0.122458
"Aug 30, 2020",0.1175
"Aug 29, 2020",0.116258
"Aug 28, 2020",0.109299
"Aug 27, 2020",0.107191
"Aug 26, 2020",0.114404
"Aug 25, 2020",0.112389
"Aug 24, 2020",0.123638
"Aug 23, 2020",0.121396
"Aug 22, 2020",0.125262
"Aug 21, 2020",0.122929
"Aug 20, 2020",0.133999
"Aug 19, 2020",0.129592
