Date,Price
2018-08-06,0.01342
2018-08-07,0.01294
2018-08-08,0.01087
2018-08-09,0.01155
2018-08-10,0.00958
2018-08-11,0.00909
2018-08-12,0.00906
2018-08-13,0.00716
2018-08-14,0.00774
2018-08-15,0.0079
2018-08-16,0.0113
2018-08-17,0.0149
2018-08-18,0.01277
2018-08-19,0.01431
2018-08-20,0.01293
2018-08-21,0.01546
2018-08-22,0.01376
2018-08-23,0.0147
2018-08-24,0.01453
2018-08-25,0.0154
2018-08-26,0.01528
2018-08-27,0.01797
2018-08-28,0.0179
2018-08-29,0.0169
2018-08-30,0.01731
2018-08-31,0.01704
2018-09-01,0.0182
2018-09-02,0.01786
2018-09-03,0.01879
2018-09-04,0.01945
2018-09-05,0.01605
2018-09-06,0.01612
2018-09-07,0.01547
2018-09-08,0.01452
2018-09-09,0.01443
2018-09-10,0.01414
2018-09-11,0.01315
2018-09-12,0.01382
2018-09-13,0.01399
2018-09-14,0.01392
2018-09-15,0.01427
2018-09-16,0.01412
2018-09-17,0.01266
2018-09-18,0.01294
2018-09-19,0.013
2018-09-20,0.01358
2018-09-21,0.01444
2018-09-22,0.01373
2018-09-23,0.01396
2018-09-24,0.01311
2018-09-25,0.01283
2018-09-26,0.01247
2018-09-27,0.01311
2018-09-28,0.01308
2018-09-29,0.01293
2018-09-30,0.0129
2018-10-01,0.01282
2018-10-02,0.01296
2018-10-03,0.01279
2018-10-04,0.01285
2018-10-05,0.01316
2018-10-06,0.01307
2018-10-07,0.01313
2018-10-08,0.01375
2018-10-09,0.01366
2018-10-10,0.01335
2018-10-11,0.01127
2018-10-12,0.01163
2018-10-13,0.01161
2018-10-14,0.01144
2018-10-15,0.01205
2018-10-16,0.01219
2018-10-17,0.01209
2018-10-18,0.01158
2018-10-19,0.01161
2018-10-20,0.01169
2018-10-21,0.0115
2018-10-22,0.01124
2018-10-23,0.01187
2018-10-24,0.01155
2018-10-25,0.01143
2018-10-26,0.01121
2018-10-27,0.01094
2018-10-28,0.011
2018-10-29,0.01053
2018-10-30,0.01021
2018-10-31,0.01048
2018-11-01,0.01049
2018-11-02,0.0105
2018-11-03,0.01035
2018-11-04,0.01089
2018-11-05,0.01076
2018-11-06,0.0113
2018-11-07,0.01088
2018-11-08,0.01055
2018-11-09,0.01025
2018-11-10,0.01031
2018-11-11,0.01023
2018-11-12,0.00999
2018-11-13,0.00928
2018-11-14,0.00868
2018-11-15,0.00812
2018-11-16,0.00778
2018-11-17,0.0078
2018-11-18,0.00773
2018-11-19,0.00614
2018-11-20,0.00544
2018-11-21,0.00587
2018-11-22,0.00524
2018-11-23,0.00524
2018-11-24,0.0046
2018-11-25,0.00478
2018-11-26,0.00443
2018-11-27,0.00447
2018-11-28,0.00527
2018-11-29,0.00534
2018-11-30,0.00481
2018-12-01,0.00507
2018-12-02,0.00494
2018-12-03,0.00453
2018-12-04,0.00462
2018-12-05,0.00445
2018-12-06,0.00411
2018-12-07,0.00392
2018-12-08,0.00383
2018-12-09,0.004
2018-12-10,0.00377
2018-12-11,0.00367
2018-12-12,0.00369
2018-12-13,0.00351
2018-12-14,0.00337
2018-12-15,0.00334
2018-12-16,0.00339
2018-12-17,0.004
2018-12-18,0.00409
2018-12-19,0.00411
2018-12-20,0.004481
2018-12-21,0.004396
2018-12-22,0.004569
2018-12-23,0.004641
2018-12-24,0.004718
2018-12-25,0.004309
2018-12-26,0.00432
2018-12-27,0.003837
2018-12-28,0.004297
2018-12-29,0.00402
2018-12-30,0.00415
2018-12-31,0.003927
2019-01-01,0.004082
2019-01-02,0.004132
2019-01-03,0.00397
2019-01-04,0.004023
2019-01-05,0.003998
2019-01-06,0.004245
2019-01-07,0.004122
2019-01-08,0.004295
2019-01-09,0.004699
2019-01-10,0.003968
2019-01-11,0.003912
2019-01-12,0.003938
2019-01-13,0.00371
2019-01-14,0.003974
2019-01-15,0.003854
2019-01-16,0.003933
2019-01-17,0.004187
2019-01-18,0.004014
2019-01-19,0.004075
2019-01-20,0.003947
2019-01-21,0.004059
2019-01-22,0.004523
2019-01-23,0.004348
2019-01-24,0.004379
2019-01-25,0.004298
2019-01-26,0.004332
2019-01-27,0.004136
2019-01-28,0.003904
2019-01-29,0.003874
2019-01-30,0.004002
2019-01-31,0.003886
2019-02-01,0.003901
2019-02-02,0.003929
2019-02-03,0.00386
2019-02-04,0.003813
2019-02-05,0.003783
2019-02-06,0.00363
2019-02-07,0.003686
2019-02-08,0.00395
2019-02-09,0.004018
2019-02-10,0.004022
2019-02-11,0.003905
2019-02-12,0.003923
2019-02-13,0.003852
2019-02-14,0.003861
2019-02-15,0.003929
2019-02-16,0.004089
2019-02-17,0.004111
2019-02-18,0.004344
2019-02-19,0.004271
2019-02-20,0.004343
2019-02-21,0.004464
2019-02-22,0.004763
2019-02-23,0.004885
2019-02-24,0.004336
2019-02-25,0.004541
2019-02-26,0.00456
2019-02-27,0.004534
2019-02-28,0.004552
2019-03-01,0.004555
2019-03-02,0.004469
2019-03-03,0.004408
2019-03-04,0.004206
2019-03-05,0.00433
2019-03-06,0.004301
2019-03-07,0.00447
2019-03-08,0.004395
2019-03-09,0.004852
2019-03-10,0.004697
2019-03-11,0.004642
2019-03-12,0.005289
2019-03-13,0.005082
2019-03-14,0.00518
2019-03-15,0.005299
2019-03-16,0.005305
2019-03-17,0.005196
2019-03-18,0.005272
2019-03-19,0.005381
2019-03-20,0.005651
2019-03-21,0.005601
2019-03-22,0.005761
2019-03-23,0.00588
2019-03-24,0.005747
2019-03-25,0.005611
2019-03-26,0.005513
2019-03-27,0.005655
2019-03-28,0.005827
2019-03-29,0.005937
2019-03-30,0.005907
2019-03-31,0.006091
2019-04-01,0.006273
2019-04-02,0.00722
2019-04-03,0.007261
2019-04-04,0.007191
2019-04-05,0.007474
2019-04-06,0.007552
2019-04-07,0.007613
2019-04-08,0.007407
2019-04-09,0.007098
2019-04-10,0.007125
2019-04-11,0.006602
2019-04-12,0.006827
2019-04-13,0.006892
2019-04-14,0.006902
2019-04-15,0.006785
2019-04-16,0.006962
2019-04-17,0.007033
2019-04-18,0.007286
2019-04-19,0.007183
2019-04-20,0.006994
2019-04-21,0.006756
2019-04-22,0.006936
2019-04-23,0.006695
2019-04-24,0.00639
2019-04-25,0.006021
2019-04-26,0.006136
2019-04-27,0.006159
2019-04-28,0.006083
2019-04-29,0.005828
2019-04-30,0.006206
2019-05-01,0.006564
2019-05-02,0.006477
2019-05-03,0.006663
2019-05-04,0.006476
2019-05-05,0.006427
2019-05-06,0.0063
2019-05-07,0.006115
2019-05-08,0.006274
2019-05-09,0.006031
2019-05-10,0.006101
2019-05-11,0.006377
2019-05-12,0.006109
2019-05-13,0.006367
2019-05-14,0.00704
2019-05-15,0.007915
2019-05-16,0.008153
2019-05-17,0.007571
2019-05-18,0.007714
2019-05-19,0.007879
2019-05-20,0.007666
2019-05-21,0.00771
2019-05-22,0.00711
2019-05-23,0.007441
2019-05-24,0.007374
2019-05-25,0.00734
2019-05-26,0.007523
2019-05-27,0.00797
2019-05-28,0.007772
2019-05-29,0.007644
2019-05-30,0.00747
2019-05-31,0.007656
2019-06-01,0.007404
2019-06-02,0.007718
2019-06-03,0.00717
2019-06-04,0.007422
2019-06-05,0.007652
2019-06-06,0.00768
2019-06-07,0.007704
2019-06-08,0.007607
2019-06-09,0.007229
2019-06-10,0.007703
2019-06-11,0.00744
2019-06-12,0.0076
2019-06-13,0.007559
2019-06-14,0.007282
2019-06-15,0.007328
2019-06-16,0.007237
2019-06-17,0.007364
2019-06-18,0.007365
2019-06-19,0.007302
2019-06-20,0.006874
2019-06-21,0.006732
2019-06-22,0.006997
2019-06-23,0.007218
2019-06-24,0.007104
2019-06-25,0.009343
2019-06-26,0.008136
2019-06-27,0.007822
2019-06-28,0.008357
2019-06-29,0.00912
2019-06-30,0.008171
2019-07-01,0.008086
2019-07-02,0.007614
2019-07-03,0.007811
2019-07-04,0.007297
2019-07-05,0.007413
2019-07-06,0.007473
2019-07-07,0.007458
2019-07-08,0.007221
2019-07-09,0.007232
2019-07-10,0.006943
2019-07-11,0.006034
2019-07-12,0.006866
2019-07-13,0.006468
2019-07-14,0.005642
2019-07-15,0.005624
2019-07-16,0.005216
2019-07-17,0.00543
2019-07-18,0.005685
2019-07-19,0.005831
2019-07-20,0.006068
2019-07-21,0.006087
2019-07-22,0.00619
2019-07-23,0.005828
2019-07-24,0.005894
2019-07-25,0.005852
2019-07-26,0.005935
2019-07-27,0.005697
2019-07-28,0.005645
2019-07-29,0.005574
2019-07-30,0.005528
2019-07-31,0.0056
2019-08-01,0.00541
2019-08-02,0.005481
2019-08-03,0.00548
2019-08-04,0.005317
2019-08-05,0.00523
2019-08-06,0.004873
2019-08-07,0.005014
2019-08-08,0.004992
2019-08-09,0.004906
2019-08-10,0.00491
2019-08-11,0.005118
2019-08-12,0.005101
2019-08-13,0.004916
2019-08-14,0.004628
2019-08-15,0.00458
2019-08-16,0.004493
2019-08-17,0.004454
2019-08-18,0.004495
2019-08-19,0.00466
2019-08-20,0.00455
2019-08-21,0.004369
2019-08-22,0.004464
2019-08-23,0.004594
2019-08-24,0.004905
2019-08-25,0.004481
2019-08-26,0.004556
2019-08-27,0.00454
2019-08-28,0.004238
2019-08-29,0.004052
2019-08-30,0.004075
2019-08-31,0.00409
2019-09-01,0.004095
